frase,diagnostico,risco
"Sinto uma dor aguda no peito que surge ao subir escadas, durando minutos.",Angina,Baixo Risco
"Há dois dias, dor forte no peito irradia para o braço esquerdo ao caminhar rápido.",Infarto,Alto Risco
"Estou exausto o dia todo, mesmo sem esforço, e incho os pés à noite.",Insuficiência Cardíaca,Baixo Risco
"Meu coração acelera de repente durante reuniões, com sensação de tontura.",Arritmia,Alto Risco
"Pressão no peito ao estressar no trabalho, aliviada ao sentar.",Angina,Baixo Risco
"Dor forte no tórax ao carregar sacolas, piora com suor frio.",Infarto,Alto Risco
Fadiga extrema me impede de cozinhar jantares simples após o expediente.,Insuficiência Cardíaca,Baixo Risco
"Batimentos irregulares me acordam à noite, como pulos no peito.",Arritmia,Alto Risco
"Desconforto torácico leve ao rir com amigos, passa rápido.",Angina,Baixo Risco
Dor opressiva no peito me parou no meio da corrida matinal ontem.,Infarto,Alto Risco
Cansaço persistente reduz minha energia para passeios curtos com o cachorro.,Insuficiência Cardíaca,Baixo Risco
"Palpitações fortes surgem ao dirigir, me forçando a parar o carro.",Arritmia,Alto Risco
"Aperto no peito ao discutir no telefone, dura pouco.",Angina,Baixo Risco
Dor intensa no centro do peito com náusea ao levantar da cama.,Infarto,Alto Risco
"Estou sempre cansado após tarefas leves, como lavar louça.",Insuficiência Cardíaca,Baixo Risco
Ritmo cardíaco irregular me deixa ansioso durante chamadas de vídeo.,Arritmia,Alto Risco
Sensação de queimação no peito ao fumar um cigarro após almoço.,Angina,Baixo Risco
Dor esmagadora no peito me derrubou no sofá enquanto via TV.,Infarto,Alto Risco
Coração disparado sem motivo me impede de focar em relatórios.,Arritmia,Alto Risco
"Dor no peito ao inclinar para amarrar os sapatos, breve.",Angina,Baixo Risco
Aperto súbito no tórax com falta de ar ao deitar.,Infarto,Alto Risco
Inchaço nas pernas piora minha mobilidade para idas ao supermercado.,Insuficiência Cardíaca,Baixo Risco
Pausas no batimento me assustam ao relaxar no banho.,Arritmia,Alto Risco
Desconforto leve no peito durante yoga leve pela manhã.,Angina,Baixo Risco
Dor aguda no peito irradia para a mandíbula ao comer.,Infarto,Alto Risco
Cansaço me obriga a pausas frequentes em caminhadas curtas.,Insuficiência Cardíaca,Baixo Risco
Aceleração cardíaca me faz suar frio em apresentações.,Arritmia,Alto Risco
Pressão torácica ao carregar o laptop na mochila.,Angina,Baixo Risco
Dor forte no peito com vômito ao estressar com prazos.,Infarto,Alto Risco
Ofegância constante e exaustão afeta minhas conversas longas com colegas.,Insuficiência Cardíaca,Baixo Risco
Batimentos acelerados me interrompem enquanto leio à noite.,Arritmia,Baixo Risco
"Dor pontada no peito ao andar devagar, some logo.",Angina,Baixo Risco
Peso no tórax com suor ao subir um lance de degraus.,Infarto,Alto Risco
Exaustão me deixa sem fôlego para varrer a casa.,Insuficiência Cardíaca,Baixo Risco
Coração batendo forte e irregular ao falar no telefone.,Arritmia,Alto Risco
Queimor no peito leve ao beber café forte.,Angina,Baixo Risco
Dor esmagante no coração me jogou no chão da cozinha.,Infarto,Alto Risco
Pernas inchadas me cansam só de ficar em pé no banheiro.,Insuficiência Cardíaca,Baixo Risco
Pulsações erráticas me acordam suado no meio da noite.,Arritmia,Alto Risco
"Aperto torácico ao esticar os braços, alivia rápido.",Angina,Baixo Risco
Dor lancinante com formigamento no braço durante o almoço.,Infarto,Alto Risco
Fadiga me impede de arrumar a cama pela manhã.,Insuficiência Cardíaca,Baixo Risco
Ritmo acelerado me faz tremer ao sentar no sofá.,Arritmia,Alto Risco
Sensação de aperto ao tossir levemente.,Angina,Baixo Risco
Dor no peito com tontura me parou na rua ontem.,Infarto,Alto Risco
Batimentos descompassados surgem ao escovar os dentes.,Arritmia,Baixo Risco
"Desconforto no peito ao virar na cama, passa em segundos.",Angina,Baixo Risco
Pressão forte no coração com falta de ar ao acordar.,Infarto,Alto Risco
"Cansaço após pentear o cabelo, preciso sentar.",Insuficiência Cardíaca,Baixo Risco
Palpitações violentas me forçam a deitar durante o trabalho.,Arritmia,Alto Risco
Dor aguda leve ao respirar fundo no ar condicionado.,Angina,Baixo Risco
Aperto no tórax irradia para o pescoço ao correr.,Infarto,Alto Risco
Coração pulando batidas me assusta ao lavar a louça.,Arritmia,Alto Risco
Queimação torácica ao inclinar para pegar o jornal.,Angina,Baixo Risco
Dor opressiva com náusea me derrubou no elevador.,Infarto,Alto Risco
Inchaço nos tornozelos piora ao ficar sentado no escritório.,Insuficiência Cardíaca,Baixo Risco
Acelerações súbitas me interrompem no meio da refeição.,Arritmia,Alto Risco
Peso no peito ao carregar uma xícara de chá.,Angina,Baixo Risco
Dor intensa no centro com suor frio ao deitar.,Infarto,Alto Risco
Cansaço me obriga a parar de regar as plantas.,Insuficiência Cardíaca,Baixo Risco
Ritmo irregular no coração me deixa zonzo ao andar pelo quarto.,Arritmia,Baixo Risco
Desconforto leve ao engolir saliva durante o jantar.,Angina,Baixo Risco
Dor esmagadora no peito me paralisou enquanto dirigia devagar.,Infarto,Alto Risco
Exaustão constante reduz minhas forças para abrir janelas.,Insuficiência Cardíaca,Baixo Risco
Batimentos rápidos e fracos me acordam ansioso.,Arritmia,Alto Risco
Aperto no peito ao rir de uma piada no grupo.,Angina,Baixo Risco
